,block,trial,sequence1,sequence2,sequence3,sequence4,sequence5
0,training1,0,01100.png,11010.png,01011.png,01000.png,11110.png
1,training1,1,00001.png,11110.png,10100.png,11011.png,01001.png
2,training1,2,01010.png,11011.png,00110.png,00001.png,11000.png
3,training1,3,00111.png,11101.png,00111.png,01111.png,11011.png
4,training1,4,01110.png,10001.png,11000.png,01011.png,00101.png
5,training1,5,11011.png,00000.png,01101.png,10000.png,11101.png
6,training1,6,11110.png,00101.png,11100.png,11010.png,10110.png
7,training1,7,10101.png,10111.png,10110.png,01101.png,10001.png
8,training1,8,11111.png,01001.png,11011.png,11110.png,00111.png
9,training1,9,11010.png,00001.png,10111.png,01110.png,10100.png
10,training1,10,10001.png,10011.png,01100.png,10100.png,00110.png
11,training1,11,10011.png,00110.png,10001.png,00100.png,11100.png
12,training1,12,10100.png,00011.png,01111.png,00111.png,01010.png
13,training1,13,10010.png,10010.png,10000.png,11111.png,01101.png
14,training1,14,01101.png,01011.png,11101.png,00000.png,00000.png
15,training1,15,00011.png,01111.png,00001.png,11000.png,01011.png
16,training1,16,00101.png,01100.png,10010.png,10011.png,00010.png
17,training1,17,01011.png,10000.png,10101.png,10110.png,10000.png
18,training1,18,10111.png,01101.png,00000.png,10010.png,00011.png
19,training1,19,00110.png,11111.png,11111.png,00101.png,10111.png
20,training1,20,01000.png,00010.png,00100.png,11001.png,11001.png
21,training1,21,01111.png,01000.png,01110.png,10111.png,10011.png
22,training1,22,11100.png,00100.png,11001.png,00110.png,11111.png
23,training1,23,10000.png,01010.png,01010.png,10101.png,00100.png
24,training1,24,00010.png,11001.png,11110.png,11101.png,01000.png
25,training1,25,00100.png,10100.png,11010.png,01100.png,01100.png
26,training1,26,01001.png,00111.png,00101.png,00010.png,11010.png
27,training1,27,11101.png,11000.png,01001.png,10001.png,10010.png
28,training1,28,11001.png,10110.png,01000.png,11100.png,10101.png
29,training1,29,00000.png,10101.png,00010.png,01001.png,01111.png
30,training1,30,10110.png,01110.png,00011.png,00011.png,01110.png
31,training1,31,11000.png,11100.png,10011.png,01010.png,00001.png
32,training1,32,11101.png,00101.png,10001.png,10010.png,10010.png
33,training1,33,01111.png,11100.png,10000.png,00100.png,10100.png
34,training1,34,00111.png,10101.png,11011.png,10101.png,11101.png
35,training1,35,10010.png,00011.png,11010.png,00010.png,10011.png
36,training1,36,11011.png,10001.png,01010.png,10100.png,01010.png
37,training1,37,11010.png,01011.png,01100.png,01010.png,11111.png
38,training1,38,00100.png,11001.png,11101.png,11010.png,10000.png
39,training1,39,11111.png,01111.png,01101.png,01110.png,01110.png
40,training1,40,01000.png,00100.png,00101.png,00101.png,01011.png
41,training1,41,10111.png,11000.png,00001.png,01101.png,10111.png
42,training1,42,00110.png,10010.png,00010.png,10011.png,11001.png
43,training1,43,11100.png,11010.png,11000.png,11000.png,00101.png
44,training1,44,01101.png,01101.png,01000.png,11001.png,01001.png
45,training1,45,11001.png,11101.png,01110.png,00011.png,11011.png
46,training1,46,00000.png,10011.png,10111.png,00110.png,10110.png
47,training1,47,10000.png,00111.png,11111.png,01111.png,01101.png
48,training1,48,00001.png,10100.png,00111.png,10000.png,11110.png
49,training1,49,01010.png,10000.png,01011.png,00001.png,00000.png
50,training1,50,01100.png,01110.png,00011.png,01011.png,00010.png
51,training1,51,01011.png,10110.png,10101.png,01001.png,10001.png
52,training1,52,01001.png,01100.png,01111.png,00000.png,00110.png
53,training1,53,10001.png,00010.png,00110.png,11011.png,11000.png
54,training1,54,00010.png,00110.png,01001.png,01100.png,00011.png
55,training1,55,11000.png,11110.png,10010.png,11111.png,11010.png
56,training1,56,00101.png,01000.png,11110.png,11100.png,11100.png
57,training1,57,01110.png,00001.png,11001.png,01000.png,00111.png
58,training1,58,11110.png,01010.png,10100.png,10111.png,00100.png
59,training1,59,10011.png,10111.png,00100.png,00111.png,01100.png
60,training1,60,00011.png,11011.png,00000.png,10110.png,00001.png
61,training1,61,10100.png,01001.png,10011.png,11110.png,01000.png
62,training1,62,10110.png,11111.png,10110.png,10001.png,10101.png
63,training1,63,10101.png,00000.png,11100.png,11101.png,01111.png
